phone\feature,variant,segmental,consonantal,sonorant,syllabic,approximant,labial,round,labiodental,coronal,anterior,distributed,dorsal,high,low,front,back,tense,pharyngeal,atr,voice,spread_glottis,constricted_glottis,continuant,strident,lateral,delayed_release,nasal,protruded
j̊,0,1,-1,1,-1,1,1,-1,-1,-1,0,0,1,1,-1,0,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,-1,0
w,0,1,-1,1,-1,1,1,1,-1,-1,0,0,1,1,-1,0,1,-1,-1,0,1,-1,-1,1,-1,-1,-1,-1,0
u̯,2,1,-1,1,-1,1,1,1,-1,-1,0,0,1,1,-1,0,1,-1,-1,0,1,-1,-1,1,-1,-1,-1,-1,0
ʍ,0,1,-1,1,-1,1,1,1,-1,-1,0,0,1,1,-1,0,1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,-1,0
w̥,0,1,-1,1,-1,1,1,1,-1,-1,0,0,1,1,-1,0,1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,-1,0
ɥ,0,1,-1,1,-1,1,1,1,-1,-1,0,0,1,1,-1,0,-1,-1,-1,0,1,-1,-1,1,-1,-1,-1,-1,0
jʷ,2,1,-1,1,-1,1,1,1,-1,-1,0,0,1,1,-1,0,-1,-1,-1,0,1,-1,-1,1,-1,-1,-1,-1,0
ɰ,0,1,-1,1,-1,1,1,-1,-1,-1,0,0,1,1,-1,0,1,-1,-1,0,1,-1,-1,1,-1,-1,-1,-1,0
ɣ̞,2,1,-1,1,-1,1,1,-1,-1,-1,0,0,1,1,-1,0,1,-1,-1,0,1,-1,-1,1,-1,-1,-1,-1,0
i,0,1,-1,1,1,1,1,-1,-1,-1,0,0,1,1,-1,1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,0
ɪ,0,1,-1,1,1,1,1,-1,-1,-1,0,0,1,1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
ɩ,2,1,-1,1,1,1,1,-1,-1,-1,0,0,1,1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
ı,8,1,-1,1,1,1,1,-1,-1,-1,0,0,1,1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
u,0,1,-1,1,1,1,1,1,-1,-1,0,0,1,1,-1,-1,1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,0
ʊ,0,1,-1,1,1,1,1,1,-1,-1,0,0,1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
ɷ,2,1,-1,1,1,1,1,1,-1,-1,0,0,1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
ᴜ,1,1,-1,1,1,1,1,1,-1,-1,0,0,1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
ɯ̽,0,1,-1,1,1,1,1,-1,-1,-1,0,0,1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
ʊ̜,2,1,2,1,1,1,1,-1,-1,-1,0,0,1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
e,0,1,-1,1,1,1,1,-1,-1,-1,0,0,1,-1,-1,1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,0
ɛ,0,1,-1,1,1,1,1,-1,-1,-1,0,0,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
o,0,1,-1,1,1,1,1,1,-1,-1,0,0,1,-1,-1,-1,1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,0
ɤ,0,1,-1,1,1,1,1,-1,-1,-1,0,0,1,-1,-1,-1,1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,0
ȣ,8,1,-1,1,1,1,1,-1,-1,-1,0,0,1,-1,-1,-1,1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,0
ɔ,0,1,-1,1,1,1,1,1,-1,-1,0,0,1,-1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
ʌ,0,1,-1,1,1,1,1,-1,-1,-1,0,0,1,-1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
a,0,1,-1,1,1,1,1,-1,-1,-1,0,0,1,-1,1,0,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
a̟,2,1,-1,1,1,1,1,-1,-1,-1,0,0,1,-1,1,0,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
æ̞,2,1,-1,1,1,1,1,-1,-1,-1,0,0,1,-1,1,0,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
ɶ,0,1,-1,1,1,1,1,1,-1,-1,0,0,1,-1,1,0,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
æ,0,1,-1,1,1,1,1,-1,-1,-1,0,0,1,-1,1,1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
y,0,1,-1,1,1,1,1,1,-1,-1,0,0,1,1,-1,1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,0
ʏ,0,1,-1,1,1,1,1,1,-1,-1,0,0,1,1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
ø,0,1,-1,1,1,1,1,1,-1,-1,0,0,1,-1,-1,1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,0
œ,0,1,-1,1,1,1,1,-1,-1,-1,0,0,1,-1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
ə,0,1,-1,1,1,1,1,0,-1,-1,0,0,1,-1,-1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
ɵ̞,0,1,-1,1,1,1,1,1,-1,-1,0,0,1,-1,-1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
ə̹,2,1,-1,1,1,1,1,1,-1,-1,0,0,1,-1,-1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
ɞ̝,2,1,-1,1,1,1,1,1,-1,-1,0,0,1,-1,-1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
ɘ̞,0,1,-1,1,1,1,1,-1,-1,-1,0,0,1,-1,-1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
ɯ,0,1,-1,1,1,1,1,1,-1,-1,0,0,1,1,-1,-1,1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
ɒ,0,1,-1,1,1,1,1,1,-1,-1,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
ɑ,0,1,-1,1,1,1,1,-1,-1,-1,0,0,1,-1,1,-1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
ɨ,0,1,-1,1,1,1,1,-1,-1,-1,0,0,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,0
ï,2,1,-1,1,1,1,1,-1,-1,-1,0,0,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,0
ʉ,0,1,-1,1,1,1,1,1,-1,-1,0,0,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,0
ü,2,1,-1,1,1,1,1,1,-1,-1,0,0,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,0
ɘ,0,1,-1,1,1,1,1,-1,-1,-1,0,0,1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,0
ë,2,1,-1,1,1,1,1,-1,-1,-1,0,0,1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,0
ɵ,0,1,-1,1,1,1,1,1,-1,-1,0,0,1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,0
ö,2,1,-1,1,1,1,1,1,-1,-1,0,0,1,-1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,0
ɜ,0,1,-1,1,1,1,1,-1,-1,-1,0,0,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,0
ɛ̈,2,1,-1,1,1,1,1,-1,-1,-1,0,0,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,0
ɞ,0,1,-1,1,1,1,1,1,-1,-1,0,0,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,0
ɔ̈,2,1,-1,1,1,1,1,1,-1,-1,0,0,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,0
ʚ,8,1,-1,1,1,1,1,1,-1,-1,0,0,1,-1,-1,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,0
ä,0,1,-1,1,1,1,1,-1,-1,-1,0,0,1,-1,1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
a̠,2,1,-1,1,1,1,1,-1,-1,-1,0,0,1,-1,1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
ɑ̈,2,1,-1,1,1,1,1,-1,-1,-1,0,0,1,-1,1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
ɐ̞,2,1,-1,1,1,1,1,-1,-1,-1,0,0,1,-1,1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
ᴀ,4,1,-1,1,1,1,1,-1,-1,-1,0,0,1,-1,1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
α,9,1,-1,1,1,1,1,-1,-1,-1,0,0,1,-1,1,-1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
ɐ,0,1,-1,1,1,1,1,0,-1,-1,0,0,1,-1,1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
ɜ̞,0,1,-1,1,1,1,1,-1,-1,-1,0,0,1,-1,1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
ɞ̞,0,1,-1,1,1,1,1,1,-1,-1,0,0,1,-1,1,-1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
ɪ̟,0,1,-1,1,1,1,1,-1,-1,-1,0,0,1,1,-1,1,-1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,0
ʏ̟,0,1,-1,1,1,1,1,1,-1,-1,0,0,1,1,-1,1,-1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,0
ʏ̫,0,1,-1,1,1,1,1,1,-1,-1,0,0,1,1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,1
ʏʷ,2,1,-1,1,1,1,1,1,-1,-1,0,0,1,1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,1
ɪʷ,2,1,-1,1,1,1,1,1,-1,-1,0,0,1,1,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,-1,-1,-1,1
y̫,0,1,-1,1,1,1,1,1,-1,-1,0,0,1,1,-1,1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,1
yʷ,2,1,-1,1,1,1,1,1,-1,-1,0,0,1,1,-1,1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,1
iʷ,2,1,-1,1,1,1,1,1,-1,-1,0,0,1,1,-1,1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,1
u͍,0,1,-1,1,1,1,1,1,-1,-1,0,0,1,1,-1,-1,1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1
ɯᵝ,2,1,-1,1,1,1,1,1,-1,-1,0,0,1,1,-1,-1,1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1
ɯ͡β̞,2,1,-1,1,1,1,1,1,-1,-1,0,0,1,1,-1,-1,1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1
ʉ͍,0,1,-1,1,1,1,1,1,-1,-1,0,0,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1
ɨᵝ,2,1,-1,1,1,1,1,1,-1,-1,0,0,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1
ɨ͡β̞,2,1,-1,1,1,1,1,1,-1,-1,0,0,1,1,-1,-1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,-1
ɪ̈,0,1,-1,1,1,1,1,-1,-1,-1,0,0,1,1,-1,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,0
ɨ̞,2,1,-1,1,1,1,1,-1,-1,-1,0,0,1,1,-1,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,0
ɘ̝,2,1,-1,1,1,1,1,-1,-1,-1,0,0,1,1,-1,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,0
ᵻ,9,1,-1,1,1,1,1,-1,-1,-1,0,0,1,1,-1,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,0
ʊ̈,0,1,-1,1,1,1,1,1,-1,-1,0,0,1,1,-1,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,0
ʉ̞,2,1,-1,1,1,1,1,1,-1,-1,0,0,1,1,-1,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,0
ᵿ,9,1,-1,1,1,1,1,1,-1,-1,0,0,1,1,-1,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,0
ø̫,0,1,-1,1,1,1,1,1,-1,-1,0,0,1,-1,-1,1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,1
øʷ,5,1,-1,1,1,1,1,1,-1,-1,0,0,1,-1,-1,1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,1
eʷ,5,1,-1,1,1,1,1,1,-1,-1,0,0,1,-1,-1,1,-1,1,1,1,1,-1,-1,1,-1,-1,-1,-1,1
e̞,0,1,-1,1,1,1,1,-1,-1,-1,0,0,1,-1,-1,1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
ɛ̝,2,1,-1,1,1,1,1,-1,-1,-1,0,0,1,-1,-1,1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
ᴇ,4,1,-1,1,1,1,1,-1,-1,-1,0,0,1,-1,-1,1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
ø̞,0,1,-1,1,1,1,1,1,-1,-1,0,0,1,-1,-1,1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
œ̝,2,1,-1,1,1,1,1,1,-1,-1,0,0,1,-1,-1,1,-1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
o̞,0,1,-1,1,1,1,1,1,-1,-1,0,0,1,-1,-1,-1,1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
ɔ̝,2,1,-1,1,1,1,1,1,-1,-1,0,0,1,-1,-1,-1,1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
ⱺ,9,1,-1,1,1,1,1,1,-1,-1,0,0,1,-1,-1,-1,1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
ɤ̞,0,1,-1,1,1,1,1,-1,-1,-1,0,0,1,-1,-1,-1,1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
ʌ̝,2,1,-1,1,1,1,1,-1,-1,-1,0,0,1,-1,-1,-1,1,1,1,-1,1,-1,-1,1,-1,-1,-1,-1,0
kw,9,1,1,-1,-1,-1,1,1,-1,-1,0,0,1,1,-1,0,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0
gw,9,1,1,-1,-1,-1,1,1,-1,-1,0,0,1,1,-1,0,1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,0
ʰ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ʱ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
̤,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
ʼ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
̚,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
̬,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
̌,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
̥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
̊,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
ʷ,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ʲ,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
̰,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
̩,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
̯,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
̃,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
͊,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
# 0 = IPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 1 = Americanist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2 = IPA variant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 3 = Americanist variant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 4 = Sinologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 5 = IPA-inspired ad hoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 8 = mistakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 9 = other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
