phone\feature,variant,segmental,consonantal,sonorant,syllabic,labial,round,coronal,anterior,distributed,dorsal,high,low,back,tense,pharyngeal,atr,voice,spread_glottis,constricted_glottis,continuant,strident,lateral,delayed_release,nasal
t̠ʲʃ,2,1,1,-1,-1,-1,0,1,-1,1,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,1,-1
č,1,1,1,-1,-1,-1,0,1,-1,1,1,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,1,-1
dʒ,0,1,1,-1,-1,-1,0,1,-1,1,1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1,-1,1,-1
ʤ,2,1,1,-1,-1,-1,0,1,-1,1,1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1,-1,1,-1
d͡ʒ,2,1,1,-1,-1,-1,0,1,-1,1,1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1,-1,1,-1
d͜ʒ,2,1,1,-1,-1,-1,0,1,-1,1,1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1,-1,1,-1
d̠ʲʒ,2,1,1,-1,-1,-1,0,1,-1,1,1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1,-1,1,-1
ǯ,1,1,1,-1,-1,-1,0,1,-1,1,1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1,-1,1,-1
ǰ,3,1,1,-1,-1,-1,0,1,-1,1,1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1,-1,1,-1
ǧ,3,1,1,-1,-1,-1,0,1,-1,1,1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1,-1,1,-1
dž,3,1,1,-1,-1,-1,0,1,-1,1,1,1,-1,-1,-1,-1,0,1,-1,-1,-1,1,-1,1,-1
ts,0,1,1,-1,-1,-1,0,1,1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,-1,1,-1,1,-1
ʦ,2,1,1,-1,-1,-1,0,1,1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,-1,1,-1,1,-1
t͡s,2,1,1,-1,-1,-1,0,1,1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,-1,1,-1,1,-1
t͜s,2,1,1,-1,-1,-1,0,1,1,-1,-1,0,0,0,0,-1,0,-1,-1,-1,-1,1,-1,1,-1
dz,0,1,1,-1,-1,-1,0,1,1,-1,-1,0,0,0,0,-1,0,1,-1,-1,-1,1,-1,1,-1
ʣ,2,1,1,-1,-1,-1,0,1,1,-1,-1,0,0,0,0,-1,0,1,-1,-1,-1,1,-1,1,-1
d͡z,2,1,1,-1,-1,-1,0,1,1,-1,-1,0,0,0,0,-1,0,1,-1,-1,-1,1,-1,1,-1
d͜z,2,1,1,-1,-1,-1,0,1,1,-1,-1,0,0,0,0,-1,0,1,-1,-1,-1,1,-1,1,-1
kx,0,1,1,-1,-1,-1,0,-1,0,0,1,1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,-1
k͡x,2,1,1,-1,-1,-1,0,-1,0,0,1,1,-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,-1
ɡɣ,0,1,1,-1,-1,-1,0,-1,0,0,1,1,-1,1,-1,-1,0,1,-1,-1,-1,-1,-1,1,-1
g͡ɣ,2,1,1,-1,-1,-1,0,-1,0,0,1,1,-1,1,-1,-1,0,1,-1,-1,-1,-1,-1,1,-1
ɡ͡ɣ,2,1,1,-1,-1,-1,0,-1,0,0,1,1,-1,1,-1,-1,0,1,-1,-1,-1,-1,-1,1,-1
gɣ,2,1,1,-1,-1,-1,0,-1,0,0,1,1,-1,1,-1,-1,0,1,-1,-1,-1,-1,-1,1,-1
pf,0,1,1,-1,-1,1,-1,-1,0,0,-1,0,0,0,0,-1,0,-1,-1,-1,-1,1,-1,1,-1
m,0,1,1,1,-1,1,-1,-1,0,0,-1,0,0,0,0,-1,0,1,-1,-1,-1,-1,-1,-1,1
n,0,1,1,1,-1,-1,0,1,1,-1,-1,0,0,0,0,-1,0,1,-1,-1,-1,-1,-1,-1,1
ŋ,0,1,1,1,-1,-1,0,-1,0,0,1,1,-1,1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,1
ɳ,0,1,1,1,-1,-1,0,1,-1,-1,1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,1
ɲ,0,1,1,1,-1,-1,0,-1,0,0,1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,1
ñ,1,1,1,1,-1,-1,0,-1,0,0,1,1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,1
ɴ,0,1,1,1,-1,-1,0,-1,0,0,1,-1,-1,1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,1
l,0,1,1,1,-1,-1,0,1,1,-1,-1,0,0,0,0,-1,0,1,-1,-1,1,-1,1,-1,-1
ʎ,0,1,1,1,-1,-1,0,-1,0,0,1,1,-1,-1,-1,-1,0,1,-1,-1,1,-1,1,-1,-1
